nodes__label,nodes__link,nodes__connection_label,nodes__connection_link
Rufus Scrimgeour,Rufus_Scrimgeour,"Alastor ""MadEye"" Moody",Alastor_Moody
,,Albus Dumbledore,Albus_Dumbledore
,,Arthur Weasley,Arthur_Weasley
,,Bill Weasley,Bill_Weasley
,,Cormac McLaggen,Cormac_McLaggen
,,Cornelius Fudge,Cornelius_Fudge
,,Dolores Umbridge,Dolores_Umbridge
,,Elphias Doge,Elphias_Doge
,,Everard,Everard
,,Fleur Delacour,Fleur_Delacour
,,Fred Weasley,Fred_Weasley
,,George Weasley,George_Weasley
,,Ginny Weasley,Ginny_Weasley
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,Kingsley Shacklebolt,Kingsley_Shacklebolt
,,Lord Voldemort,Lord_Voldemort
,,Minerva McGonagall,Minerva_McGonagall
,,Molly Weasley,Molly_Weasley
,,Nymphadora Tonks,Nymphadora_Tonks
,,Percy Weasley,Percy_Weasley
,,Pius Thicknesse,Pius_Thicknesse
,,Ron Weasley,Ron_Weasley
,,Sirius Black,Sirius_Black
,,Stan Shunpike,Stan_Shunpike
,,Sybill Trelawney,Sybill_Trelawney
,,Xenophilius Lovegood,Xenophilius_Lovegood
Kingsley Shacklebolt,Kingsley_Shacklebolt,"Alastor ""MadEye"" Moody",Alastor_Moody
,,Albus Dumbledore,Albus_Dumbledore
,,Alecto Carrow,Alecto_Carrow
,,Amycus Carrow,Amycus_Carrow
,,Arthur Weasley,Arthur_Weasley
,,Augustus Rookwood,Augustus_Rookwood
,,Bellatrix Lestrange,Bellatrix_Lestrange
,,Bill Weasley,Bill_Weasley
,,Charlie Weasley,Charlie_Weasley
,,Cornelius Fudge,Cornelius_Fudge
,,Dedalus Diggle,Dedalus_Diggle
,,Dolores Umbridge,Dolores_Umbridge
,,Draco Malfoy,Draco_Malfoy
,,Elphias Doge,Elphias_Doge
,,Emmeline Vance,Emmeline_Vance
,,Fat Friar,Fat_Friar
,,Fenrir Greyback,Fenrir_Greyback
,,Fleur Delacour,Fleur_Delacour
,,Fred Weasley,Fred_Weasley
,,George Weasley,George_Weasley
,,Ginny Weasley,Ginny_Weasley
,,Harry Potter,Harry_Potter
,,Helena Ravenclaw,Helena_Ravenclaw
,,Hermione Granger,Hermione_Granger
,,Horace Slughorn,Horace_Slughorn
,,James Potter,James_Potter_I
,,Lee Jordan,Lee_Jordan
,,Lord Voldemort,Lord_Voldemort
,,Marietta Edgecombe,Marietta_Edgecombe
,,Minerva McGonagall,Minerva_McGonagall
,,Molly Weasley,Molly_Weasley
,,Nagini,Nagini
,,Neville Longbottom,Neville_Longbottom
